team_id,true_team_name,oddsshark_team,espn_team_name,mascot,city,state,conference,division,primary_color_id,secondary_color_id
92,Iowa,Iowa,Iowa,Hawkeyes,Iowa City,IA,Big Ten,FBS,#000000,#FFE100
93,Iowa State,Iowa State,Iowa State,Cyclones,Ames,IA,Big 12,FBS,#a6192e,#FDC82F
94,Jackson State,Jackson State,Jackson State,Tigers,Jackson,MS,SWAC,FCS,#123297,#FFFFFF
95,Jacksonville,,Jacksonville,Dolphins,Jacksonville,FL,Pioneer,FCS,#008568,#FFFFFF
96,Jacksonville State,Jacksonville State,Jacksonville State,Gamecocks,Jacksonville,AL,Ohio Valley,FCS,#E53F40,#FFFFFF
97,James Madison,James Madison,James Madison,Dukes,Harrisonburg,VA,CAA,FCS,#263997,#D5A10E
98,Kansas,Kansas,Kansas,Jayhawks,Lawrence,KS,Big 12,FBS,#0051BA,#E8000D
99,Kansas State,Kansas State,Kansas State,Wildcats,Manhattan,KS,Big 12,FBS,#512888,#FFFFFF
100,Kennesaw State,,Kennesaw State,Owls,Kennesaw,GA,Big South,FCS,#231F20,#F0B410
101,Kent State,Kent State,Kent State,Golden Flashes,Kent,OH,MAC,FBS,#002664,#EAAB00
102,Kentucky,Kentucky,Kentucky,Wildcats,Lexington,KY,SEC,FBS,#0033A0,#FFFFFF
103,Lafayette,,Lafayette,Leopards,Easton,PA,Patriot,FCS,#9A0024,#CDBDA3
104,Lamar,Lamar,Lamar,Cardinals,Beaumont,TX,Southland,FCS,#231F20,#ED1B2E
105,Lehigh,,Lehigh,Mountain Hawks,Bethlehem,PA,Patriot,FCS,#994708,#CFAB7A
106,Liberty,Liberty,Liberty,Flames,Lynchburg,VA,Big South,Transitioning to FBS,#02298A,#A70F00
107,Louisiana Tech,LA Tech,Louisiana Tech,Bulldogs,Ruston,LA,C-USA,FBS,#003087,#CB333B
108,Louisiana-Lafayette,Louisiana-Lafayette,Louisiana,Ragin' Cajuns,Lafayette,LA,Sun Belt,FBS,#ce181e,#FFFFFF
109,Louisiana-Monroe,Louisiana-Monroe,Louisiana Monroe,Warhawks,Monroe,LA,Sun Belt,FBS,#800029,#bd955a
110,Louisville,Louisville,Louisville,Cardinals,Louisville,KY,ACC,FBS,#AD0000,#000000
111,LSU,LSU,LSU,Tigers,Baton Rouge,LA,SEC,FBS,#582c83,#ffc72c
112,Maine,Maine,Maine,Black Bears,Orono,ME,CAA,FCS,#2E8DC4,#FFFFFF
113,Marist,,Marist,Red Foxes,Poughkeepsie,NY,Pioneer,FCS,#EF1216,#FFFFFF
114,Marshall,Marshall,Marshall,Thundering Herd,Huntington,WV,C-USA,FBS,#006140,#FFFFFF
115,Maryland,Maryland,Maryland,Terrapins,College Park,MD,Big Ten,FBS,#c8102e,#FFFFFF
116,Massachusetts,Massachusetts,Massachusetts,Minutemen,Amherst,MA,Independent,FBS,#881c1c,#FFFFFF
117,McNeese,,McNeese,Cowboys,Lake Charles,LA,Southland,FCS,#FFD51D,#00529C
118,Memphis,Memphis,Memphis,Tigers,Memphis,TN,American,FBS,#0D3182,#888C8F
119,Mercer,Mercer,Mercer,Bears,Macon,GA,Southern,FCS,#FF7F27,#FFFFFF
120,Miami (FL),Miami-FL,Miami,Hurricanes,Coral Gables,FL,ACC,FBS,#005030,#f47321
121,Miami (OH),Miami-OH,Miami (OH),RedHawks,Oxford,OH,MAC,FBS,#B61E2E,#FFFFFF
122,Michigan,Michigan,Michigan,Wolverines,Ann Arbor,MI,Big Ten,FBS,#ffcb05,#00274c
123,Michigan State,Michigan State,Michigan State,Spartans,East Lansing,MI,Big Ten,FBS,#18453B,#FFFFFF
124,Middle Tennessee,Middle Tennessee,Middle Tennessee,Blue Raiders,Murfreesboro,TN,C-USA,FBS,#0066CC,#FFFFFF
125,Minnesota,Minnesota,Minnesota,Golden Gophers,Minneapolis,MN,Big Ten,FBS,#7a0019,#ffcc33
126,Mississippi State,Mississippi State,Mississippi State,Bulldogs,Starkville,MS,SEC,FBS,#660000,#FFFFFF
127,Mississippi Valley State,,Mississippi Valley State,Delta Devils,Itta Bena,MS,SWAC,FCS,#054105,#FFFFFF
128,Missouri,Missouri,Missouri,Tigers,Columbia,MO,SEC,FBS,#000000,#F1B82D
129,Missouri State,Missouri State,Missouri State,Bears,Springfield,MO,Missouri Valley,FCS,#5F0000,#FFFFFF
130,Monmouth,,Monmouth,Hawks,West Long Branch,NJ,Big South,FCS,#051844,#FFFFFF
131,Montana,Montana,Montana,Grizzlies,Missoula,MT,Big Sky,FCS,#751D4A,#FFFFFF
132,Montana State,Montana State,Montana State,Bobcats,Bozeman,MT,Big Sky,FCS,#003875,#D3AF7E
133,Morehead State,,Morehead State,Eagles,Morehead,KY,Pioneer,FCS,#094FA3,#FFFFFF
134,Morgan State,Morgan State,Morgan State,Bears,Baltimore,MD,MEAC,FCS,#014786,#F47937
135,Murray State,Murray State,Murray State,Racers,Murray,KY,Ohio Valley,FCS,#002148,#FFE000
136,Navy,Navy,Navy,Midshipmen,Annapolis,MD,American,FBS,#00205b,#c5b783
137,NC State,NC State,NC State,Wolfpack,Raleigh,NC,ACC,FBS,#CC0000,#FFFFFF
138,Nebraska,Nebraska,Nebraska,Cornhuskers,Lincoln,NE,Big Ten,FBS,#e41c38,#fdf2d9
139,Nevada,Nevada,Nevada,Wolf Pack,Reno,NV,Mountain West,FBS,#003366,#807f84
140,New Hampshire,New Hampshire,New Hampshire,Wildcats,Durham,NH,CAA,FCS,#004990,#FFFFFF
141,New Mexico,New Mexico,New Mexico,Lobos,Albuquerque,NM,Mountain West,FBS,#B71234,#C3C8C8
142,New Mexico State,New Mexico State,New Mexico State,Aggies,Las Cruces,NM,Sun Belt,FBS,#8c0b42,#FFFFFF
143,Nicholls,Nicholls State,Nicholls,Colonels,Thibodaux,LA,Southland,FCS,#C41230,#FFFFFF
144,NIU,NIU,Northern Illinois,Huskies,DeKalb,IL,MAC,FBS,#ba0c2f,#000000
145,Norfolk State,,Norfolk State,Spartans,Norfolk,VA,MEAC,FCS,#046546,#FFFFFF
146,North Carolina,North Carolina,North Carolina,Tar Heels,Chapel Hill,NC,ACC,FBS,#7BAFD4,#FFFFFF
147,North Carolina A&T,North Carolina A&T,North Carolina A&T,Aggies,Greensboro,NC,MEAC,FCS,#0505AA,#FFFFFF
148,North Carolina Central,North Carolina Central,North Carolina Central,Eagles,Durham,NC,MEAC,FCS,#880023,#1A1818
149,North Dakota,North Dakota,North Dakota,Fighting Hawks,Grand Forks,ND,Big Sky,FCS,#702D07,#FFFFFF
150,North Dakota State,,North Dakota State,Bison,Fargo,ND,Missouri Valley,FCS,#01402A,#FEBB1C
151,North Texas,North Texas,North Texas,Mean Green,Denton,TX,C-USA,FBS,#00853E,#FFFFFF
